,time1,object1,xloc1,yloc1,alt1,az1,time2,object2,xloc2,yloc2,alt2,az2,time_dif,pix_dif,ang_dist,pix_mid_x,pix_mid_y,ratio
5531,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:07:00,Arcturus,188.5,272.5,0.41157333407499996,4.78109330676,4019.0,324.03952176145816,71.55403999910058,308.75,163.9166660308838,0.22081886681642224
5537,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 03:36:57,Capella,295.5,179.5,0.613452870614,5.28358938677,34622.0,182.31733715388472,44.63394429140023,362.25,117.41666603088379,0.24481459080178977
5538,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 03:06:57,Aldebaran,107.5,288.5,0.264964341373,4.85900717175,36422.0,397.15103554871655,74.10587744113501,268.25,171.9166660308838,0.18659369058108577
5559,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 13:12:20,Arcturus,261.5,312.5,0.21228090357529728,4.972977314673614,99.0,306.90543347821836,71.55000591988468,345.25,183.9166660308838,0.23313372171028285
5579,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 13:11:37,Arcturus,260.5,312.5,0.21442619799600002,4.97088593949,128.0,307.0390854598157,71.55022973501792,344.5,184.0,0.23303296916698962
5584,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 13:09:20,Arcturus,257.5,311.5,0.221269071903,4.96422461738,265.0,307.8587338374534,71.55124831269497,343.0,183.5,0.23241584677754623
5586,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 13:09:12,Arcturus,257.5,311.5,0.221669021439,4.9638357157,273.0,307.8587338374534,71.55130581271906,343.0,183.5,0.2324160335516013
5588,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 13:12:20,Arcturus,261.0,312.5,0.212280903575,4.97297731467,85.0,306.76579013964385,71.54989683904952,344.75,184.0,0.23323949129555502
5590,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 13:09:05,Arcturus,257.7777709960937,311.4444580078125,0.222019010062,4.963495433409999,280.0,307.6583251936718,71.55135594559643,343.1388854980469,183.47222900390625,0.23256759231382618
5594,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:38:25,Arcturus,222.5,293.5,0.31495199917800004,4.87400824093,2120.0,314.7697571241558,71.5587009351359,325.5,174.5,0.22733664628050892
5596,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:38:16,Arcturus,222.5,293.5,0.315410536138,4.87356902245,2129.0,314.7697571241558,71.55870819289295,325.5,174.5,0.22733666933786079
5598,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:38:05,Arcturus,222.5,293.5,0.315971014663,4.873032161969999,2140.0,314.7697571241558,71.55871668334053,325.5,174.5,0.2273366963113784
5601,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:37:28,Arcturus,221.5,292.5,0.317856617547,4.87122604797,2177.0,314.67125702866474,71.55874217521422,325.0,174.0,0.2274079394823647
5606,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:30:14,Arcturus,214.0,288.5,0.34001336310400004,4.85000053049,2611.0,316.7005683607151,71.55868819551321,321.25,172.0,0.22595061501124117
5610,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:27:56,Arcturus,211.22222900390625,286.4444580078125,0.34707275390500003,4.84323359779,2749.0,317.08827233682615,71.55853472886818,319.8611145019531,170.97222900390625,0.22567386110343218
5612,2019-01-26 13:13:45,Polaris,428.5,55.5,0.782706424503,0.015906806019399998,2019-01-26 12:26:56,Arcturus,210.22222900390625,285.5555419921875,0.350144035769,4.840288417,2809.0,317.1288976305097,71.5584474958297,319.3611145019531,170.52777099609375,0.225644676440692
