,Code,Filename,Real_flag
143,5JJ,20181117_045856.avi,0.0
144,0N0,20181117_041647.avi,0.0
145,5QV,20190126_122756.avi,0.0
146,0NL,20181117_041901.avi,0.0
147,0NB,20181117_041745.avi,0.0
148,0MP,20181117_041547.avi,0.0
149,0NA,20181117_041739.avi,0.0
150,0NM,20181117_041907.avi,0.0
151,0L5,20181022_030004.avi,0.0
152,5L4,20181117_050359.avi,0.0
153,0LM,20181022_115502.avi,0.0
154,0NH,20181117_041833.avi,0.0
155,5R1,20190126_123431.avi,0.0
156,0KX,20181020_045647.avi,0.0
157,0LX,20181023_102126.avi,0.0
158,5SG,20190126_131624.avi,0.0
159,0NQ,20181117_041934.avi,0.0
160,0MV,20181117_041621.avi,0.0
161,5M7,20181117_050712.avi,0.0
162,0KJ,20181020_034645.avi,0.0
163,5S3,20190126_131431.avi,0.0
164,5KO,20181117_050234.avi,0.0
165,5R7,20190126_123746.avi,0.0
166,0M9,20181023_110746.avi,0.0
167,5L7,20181117_050415.avi,0.0
168,5M5,20181117_050703.avi,0.0
169,0KB,20181020_031922.avi,0.0
170,5RY,20190126_131352.avi,0.0
171,00B,20180819_050001.avi,0.0
172,0KZ,20181020_045709.avi,0.0
173,5SP,20190126_131731.avi,0.0
174,5ME,20181118_055007.avi,0.0
175,5OT,20190126_122526.avi,0.0
176,5MZ,20190126_030159.avi,0.0
177,5SI,20190126_131638.avi,0.0
178,5MO,20181205_055532.avi,0.0
179,5SF,20190126_131617.avi,0.0
180,5J4,20181117_043151.avi,0.0
181,5N0,20190126_030208.avi,0.0
182,5RJ,20190126_131137.avi,0.0
183,0LO,20181022_115727.avi,0.0
184,5M4,20181117_050659.avi,0.0
185,0LN,20181022_115622.avi,0.0
186,5RH,20190126_131120.avi,0.0
187,0M6,20181023_102218.avi,0.0
188,5JI,20181117_043254.avi,0.0
189,5L8,20181117_050419.avi,0.0
190,5LS,20181117_050600.avi,0.0
191,0MG,20181117_041456.avi,0.0
192,5R5,20190126_123728.avi,0.0
193,5SB,20190126_131549.avi,0.0
194,5S7,20190126_131519.avi,0.0
195,0K3,20181020_030832.avi,0.0
196,0LZ,20181023_102137.avi,0.0
197,0L6,20181022_061623.avi,0.0
198,0MO,20181117_041542.avi,0.0
199,0MI,20181117_041508.avi,0.0
200,0M5,20181023_102214.avi,0.0
201,0MT,20181117_041610.avi,0.0
202,0ME,20181117_034532.avi,0.0
203,0LY,20181023_102129.avi,0.0
204,0NK,20181117_041856.avi,0.0
205,0M4,20181023_102210.avi,0.0
206,5KH,20181117_050158.avi,0.0
207,0LU,20181023_042026.avi,0.0
208,5RE,20190126_130912.avi,0.0
209,5LD,20181117_050444.avi,0.0
210,0KM,20181020_034810.avi,0.0
211,5KA,20181117_050120.avi,0.0
212,5MV,20181206_025413.avi,0.0
213,0L7,20181022_102519.avi,0.0
214,0JY,20181019_115534.avi,1.0
215,5S4,20190126_131444.avi,0.0
216,5R0,20190126_123131.avi,0.0
217,5JC,20181117_043228.avi,0.0
218,0LD,20181022_111615.avi,0.0
219,043,20180819_092050.avi,0.0
220,5KW,20181117_050317.avi,0.0
221,0NO,20181117_041922.avi,0.0
222,0KK,20181020_034741.avi,0.0
223,0N5,20181117_041711.avi,0.0
224,5R3,20190126_123612.avi,0.0
225,0LT,20181023_040851.avi,0.0
226,029,20180819_053549.avi,0.0
227,5L5,20181117_050404.avi,0.0
228,5JL,20181117_045905.avi,0.0
229,0MW,20181117_041627.avi,0.0
230,5RQ,20190126_131236.avi,0.0
231,5RR,20190126_131246.avi,0.0
232,5L2,20181117_050349.avi,0.0
233,5SM,20190126_131709.avi,0.0
234,0KO,20181020_034819.avi,0.0
235,0LF,20181022_111823.avi,0.0
236,5M0,20181117_050639.avi,0.0
237,5KQ,20181117_050245.avi,0.0
238,5L6,20181117_050410.avi,0.0
239,5SC,20190126_131556.avi,0.0
240,0KT,20181020_035232.avi,0.0
241,5MK,20181205_030912.avi,0.0
242,5OJ,20190126_050200.avi,0.0
243,0KS,20181020_035122.avi,0.0
244,5KF,20181117_050147.avi,0.0
245,0NR,20181117_041940.avi,0.0
246,5MJ,20181119_124201.avi,1.0
247,5LC,20181117_050439.avi,0.0
248,5JA,20181117_043219.avi,0.0
249,5RZ,20190126_131359.avi,0.0
250,5RP,20190126_131228.avi,0.0
251,5QO,20190126_122649.avi,0.0
252,5S9,20190126_131534.avi,0.0
253,5L9,20181117_050424.avi,0.0
254,0LV,20181023_095802.avi,0.0
255,5S0,20190126_131407.avi,0.0
256,0MZ,20181117_041642.avi,0.0
257,0K6,20181020_031125.avi,0.0
258,0N9,20181117_041733.avi,0.0
259,5MC,20181118_021044.avi,0.0
260,0MC,20181117_034502.avi,0.0
261,5KG,20181117_050152.avi,0.0
262,5M1,20181117_050644.avi,0.0
263,5JO,20181117_045923.avi,0.0
264,5R9,20190126_123816.avi,0.0
265,5MF,20181118_102202.avi,1.0
266,5LN,20181117_050536.avi,0.0
267,5MP,20181205_110532.avi,0.0
268,0L8,20181022_102916.avi,0.0
269,5JR,20181117_045939.avi,0.0
270,5OW,20190126_122624.avi,0.0
271,0LR,20181023_040550.avi,0.0
272,5R2,20190126_123438.avi,0.0
273,0K0,20181020_030803.avi,0.0
274,5K5,20181117_050053.avi,0.0
275,5RX,20190126_131345.avi,0.0
276,5KJ,20181117_050207.avi,0.0
277,5M2,20181117_050649.avi,0.0
278,5JH,20181117_043251.avi,0.0
279,5OR,20190126_122509.avi,0.0
280,0H5,20180925_111233.avi,0.0
281,5K4,20181117_050048.avi,0.0
282,5KC,20181117_050131.avi,0.0
283,0M2,20181023_102201.avi,0.0
284,fixme,20180819_050726.avi,0.0
